text,labels
In this situation Your words were sweet and comforting for our team.,sweet
During this week We remain hopeful about recovery today.,hopeful
In this situation the tone is tears for this release.,emotional
In this situation I am frustrated by repeated blockers for this case.,frustrated
From my perspective. I felt pure joy after hearing the news. the tone feels cry for our team.,"joy,sad"
In this situation I am stressed by constant pressure for our team.,stressed
In this project This makes me angry and I want immediate action right now.,anger
In this project This process is frustrating and slow for this case.,frustrated
In this project the tone is empty today.,depressed
During this week. the tone feels outraged. I am grateful for your support. This is a painful and sad moment for this release.,"anger,grateful,sad"
From my perspective. the tone feels stressed. the tone feels joy for our team.,"joy,stressed"
In this situation I felt pure joy after hearing the news today.,joy
In this situation There is constant drama around this issue for our team.,drama
In today's discussion the tone is worried right now.,worried
In today's discussion You handled this in a very nice way today.,nice
During this week the tone is appreciate for our team.,grateful
In today's discussion. the tone feels blessed. the tone feels concerned. the tone feels tender today.,"grateful,sweet,worried"
In today's discussion This workload is stressful and draining today.,stressed
During this week the tone is pressure for our team.,stressed
During this week the tone is burnout for our team.,stressed
In this project I feel deeply sad about this loss for this case.,sad
From my perspective the tone is appreciate right now.,grateful
From my perspective the tone is grateful for our team.,grateful
In this situation. I felt pure joy after hearing the news. the tone feels uncertain today.,"joy,worried"
From my perspective We remain hopeful about recovery for our team.,hopeful
In today's discussion the tone is scene for our team.,drama
From my perspective. the tone feels threat. the tone feels excited for this case.,"fear,joy"
From my perspective the tone is hopeless for this release.,depressed
In this project the tone is respectful for this case.,polite
In this project Your words were sweet and comforting for this case.,sweet
In this project I am tensed and cannot relax today.,tensed
In this project. I am tensed and cannot relax. the tone feels worried for this release.,"tensed,worried"
From my perspective This makes me angry and I want immediate action for our team.,anger
During this week I became emotional while reading this for this release.,emotional
During this week the tone is indebted right now.,grateful
During this week The argument escalated into a fight for this release.,fight
In today's discussion the tone is kindhearted right now.,sweet
In this project the tone is good for this release.,nice
During this week I am frustrated by repeated blockers today.,frustrated
In this project I became emotional while reading this for our team.,emotional
During this week the tone is romantic for this release.,love
In this situation the tone is fed up for our team.,frustrated
From my perspective They started a fight over a small issue today.,fight
From my perspective I feel deeply sad about this loss for our team.,sad
From my perspective I felt pure joy after hearing the news for this case.,joy
In this situation the tone is heartbroken for this release.,sad
In this situation She stayed calm during the crisis today.,calm
During this week This result brings joy and excitement today.,joy
In this situation. the tone feels stressed. the tone feels drama. I am grateful for your support today.,"drama,grateful,stressed"
In today's discussion the tone is nausea today.,sick
From my perspective the tone is please for this case.,polite
In this situation I felt pure joy after hearing the news for this case.,joy
From my perspective I am worried about the final result right now.,worried
In today's discussion The patient looks sick and tired right now.,sick
From my perspective. the tone feels dramatic. the tone feels helpful for this case.,"drama,nice"
In today's discussion This makes me angry and I want immediate action for this release.,anger
From my perspective the tone is depressed right now.,depressed
In today's discussion I feel sick and weak today right now.,sick
In this project The argument escalated into a fight for this release.,fight
In this project. I am furious about the repeated failures and delays. There is love and care in this message. This event was emotional and overwhelming for this case.,"anger,emotional,love"
In today's discussion the tone is cherish for this case.,love
In this project. I feel sick and weak today. the tone feels threat for this release.,"fear,sick"
During this week. the tone feels drama. The interaction was nice and respectful. This update is confusing and incomplete for this case.,"confused,drama,nice"
In this situation This process is frustrating and slow today.,frustrated
In today's discussion the tone is appreciate today.,grateful
In this situation Your words were sweet and comforting today.,sweet
In this situation. the tone feels polite. This week feels depressing and heavy for this release.,"depressed,polite"
In today's discussion This event was emotional and overwhelming right now.,emotional
In this situation We are thankful and grateful for your help for our team.,grateful
During this week Thank you for the polite response today.,polite
In this project This update is confusing and incomplete today.,confused
In this situation the tone is mixed right now.,confused
In this project the tone is courteous right now.,polite
In today's discussion the tone is outraged for this case.,anger
From my perspective. This workload is stressful and draining. Your words were sweet and comforting for our team.,"stressed,sweet"
In this situation I love how you supported me today for this release.,love
From my perspective the tone is sick today.,sick
In this project The discussion turned into unnecessary drama right now.,drama
In today's discussion the tone is puzzled today.,confused
In today's discussion. I felt pure joy after hearing the news. the tone feels scene. the tone feels numb today.,"depressed,drama,joy"
In today's discussion the tone is uncertain today.,worried
During this week The interaction was nice and respectful for this release.,nice
During this week This event was emotional and overwhelming for this release.,emotional
In this project We are thankful and grateful for your help for our team.,grateful
In this project the tone is cherish today.,love
In this project the tone is excited for this release.,joy
In this situation I feel sick and weak today for this case.,sick
From my perspective I felt pure joy after hearing the news for our team.,joy
In this project They started a fight over a small issue for this case.,fight
From my perspective I feel sick and weak today for this release.,sick
During this week There is love and care in this message for our team.,love
During this week. The interaction was nice and respectful. The discussion turned into unnecessary drama. The argument escalated into a fight right now.,"drama,fight,nice"
In today's discussion the tone is argue right now.,fight
From my perspective Your words were sweet and comforting today.,sweet
In this situation the tone is encouraged for this release.,hopeful
In this project Thank you for the polite response for this case.,polite
During this week the tone is scared right now.,fear
In this project. the tone feels tears. the tone feels fever. the tone feels thankful for our team.,"emotional,grateful,sick"
In this project. the tone feels pressure. the tone feels helpful for this release.,"nice,stressed"
During this week the tone is calm for this release.,calm
During this week I feel depressed and disconnected for our team.,depressed
In this situation This makes me worried and uncertain for this release.,worried
In today's discussion This event was emotional and overwhelming right now.,emotional
During this week I am grateful for your support for this release.,grateful
From my perspective She stayed calm during the crisis today.,calm
During this week the tone is irritated right now.,frustrated
In today's discussion the tone is tense for this release.,tensed
In this project the tone is nausea for our team.,sick
"In this project It felt gentle, warm, and sweet for this case.",sweet
"In this situation It felt gentle, warm, and sweet for our team.",sweet
In today's discussion This event was emotional and overwhelming for this case.,emotional
In today's discussion I felt pure joy after hearing the news today.,joy
In today's discussion the tone is pleasant for this case.,nice
In this situation I am grateful for your support today.,grateful
In this situation I feel depressed and disconnected for our team.,depressed
During this week. She stayed calm during the crisis. I am worried about the final result. the tone feels unclear today.,"calm,confused,worried"
In today's discussion I am tensed and cannot relax for this release.,tensed
In this situation There is constant drama around this issue for this case.,drama
In this project. I am confused by conflicting instructions. the tone feels adorable for this case.,"confused,sweet"
From my perspective The discussion turned into unnecessary drama for this release.,drama
During this week There is love and care in this message for our team.,love
From my perspective This result brings joy and excitement today.,joy
During this week. the tone feels frustrated. the tone feels thankful for this case.,"frustrated,grateful"
In this project the tone is steady for this case.,calm
During this week Your words were sweet and comforting for this release.,sweet
In this situation She stayed calm during the crisis for this case.,calm
During this week The discussion turned into unnecessary drama today.,drama
In today's discussion the tone is tensed today.,tensed
From my perspective. the tone feels depressed. the tone feels concerned right now.,"depressed,worried"
In today's discussion the tone is polite today.,polite
In this situation the tone is stressed for this release.,stressed
During this week I am confused by conflicting instructions for this case.,confused
During this week. Your words were sweet and comforting. The interaction was nice and respectful for this case.,"nice,sweet"
In this project I became emotional while reading this for our team.,emotional
In today's discussion the tone is pressured right now.,tensed
During this week The interaction was nice and respectful for our team.,nice
In this situation I feel calm after the clarification for our team.,calm
From my perspective I feel depressed and disconnected today.,depressed
During this week There is constant drama around this issue for this release.,drama
During this week I am scared this situation may get worse for our team.,fear
From my perspective the tone is scared for this release.,fear
During this week the tone is mad for this case.,anger
In this situation There is fear about what could happen next for this case.,fear
From my perspective the tone is confused today.,confused
In today's discussion. This is a painful and sad moment. the tone feels hopeful. the tone feels good today.,"hopeful,nice,sad"
In today's discussion I am hopeful that this will improve today.,hopeful
In this project. This update is confusing and incomplete. the tone feels uncertain right now.,"confused,worried"
During this week. the tone feels unsafe. This makes me worried and uncertain right now.,"fear,worried"
During this week They started a fight over a small issue for this release.,fight
From my perspective This event was emotional and overwhelming right now.,emotional
"In today's discussion It felt gentle, warm, and sweet for our team.",sweet
In today's discussion I love how you supported me today for our team.,love
In this project. The interaction was nice and respectful. the tone feels excited right now.,"joy,nice"
From my perspective There is fear about what could happen next for our team.,fear
During this week She stayed calm during the crisis today.,calm
From my perspective. We are thankful and grateful for your help. the tone feels pain for this release.,"grateful,sick"
In this project I am grateful for your support for this release.,grateful
During this week. the tone feels composed. I am hopeful that this will improve. the tone feels war for this release.,"calm,fight,hopeful"
In this project. There is constant drama around this issue. We remain hopeful about recovery. the tone feels sorrow right now.,"drama,hopeful,sad"
During this week the tone is threat for this release.,fear
From my perspective The room was tensed before the decision for this case.,tensed
During this week the tone is optimistic for this case.,hopeful
During this week I love how you supported me today for this case.,love
During this week. The discussion turned into unnecessary drama. The room was tensed before the decision for this release.,"drama,tensed"
"In this situation It felt gentle, warm, and sweet for our team.",sweet
In this situation She stayed calm during the crisis today.,calm
In this situation. They started a fight over a small issue. the tone feels strained for this case.,"fight,tensed"
In today's discussion the tone is hopeless for our team.,depressed
From my perspective This makes me angry and I want immediate action right now.,anger
During this week This week feels depressing and heavy today.,depressed
During this week the tone is frustrated for this case.,frustrated
In today's discussion I am stressed by constant pressure for our team.,stressed
In today's discussion. I am tensed and cannot relax. The interaction was nice and respectful. the tone feels unclear today.,"confused,nice,tensed"
During this week I feel depressed and disconnected for this release.,depressed
In this project. I feel sick and weak today. the tone feels adore today.,"love,sick"
In this project. We are thankful and grateful for your help. the tone feels composed today.,"calm,grateful"
From my perspective. This event was emotional and overwhelming. the tone feels strained right now.,"emotional,tensed"
In this situation The patient looks sick and tired for this case.,sick
In this project. the tone feels calm. the tone feels emotional. the tone feels thankful for this case.,"calm,emotional,grateful"
During this week Thank you for the polite response right now.,polite
In today's discussion The interaction was nice and respectful for this case.,nice
From my perspective I feel depressed and disconnected today.,depressed
During this week I am scared this situation may get worse right now.,fear
From my perspective There is love and care in this message today.,love
In this situation the tone is stiff today.,tensed
In this project. the tone feels unclear. You handled this in a very nice way for our team.,"confused,nice"
In today's discussion. I feel sick and weak today. the tone feels optimistic. I love how you supported me today for this release.,"hopeful,love,sick"
From my perspective We are thankful and grateful for your help today.,grateful
During this week I feel calm after the clarification right now.,calm
In this project This makes me angry and I want immediate action for this case.,anger
In today's discussion This update is confusing and incomplete right now.,confused
In this project. the tone feels burnout. The argument escalated into a fight today.,"fight,stressed"
During this week. the tone feels exhausted. the tone feels mixed for this release.,"confused,stressed"
In today's discussion. the tone feels affection. the tone feels sad. the tone feels anxious today.,"love,sad,worried"
During this week Your words were sweet and comforting for our team.,sweet
During this week the tone is tensed for our team.,tensed
In this situation the tone is tears today.,emotional
In this project This result brings joy and excitement for our team.,joy
In this project. the tone feels friendly. The room was tensed before the decision right now.,"nice,tensed"
From my perspective I feel sick and weak today today.,sick
From my perspective There is constant drama around this issue right now.,drama
In today's discussion I feel depressed and disconnected today.,depressed
In this situation the tone is promising right now.,hopeful
In today's discussion This is a painful and sad moment for our team.,sad
In this project the tone is puzzled for this release.,confused
From my perspective the tone is friendly right now.,nice
In today's discussion. I am grateful for your support. the tone feels sick right now.,"grateful,sick"
In this project. the tone feels furious. This event was emotional and overwhelming for this case.,"anger,emotional"
During this week There is love and care in this message for our team.,love
In this project We are thankful and grateful for your help for our team.,grateful
From my perspective the tone is scared for this case.,fear
In this project I am scared this situation may get worse for this release.,fear
From my perspective She stayed calm during the crisis for our team.,calm
In this project the tone is angry for this release.,anger
From my perspective. I became emotional while reading this. the tone feels annoyed. the tone feels romantic right now.,"anger,emotional,love"
In this situation the tone is strained for our team.,tensed
In this project. the tone feels thank you. This event was emotional and overwhelming right now.,"emotional,polite"
During this week This is a painful and sad moment for this release.,sad
From my perspective the tone is settled today.,calm
In this situation Your words were sweet and comforting today.,sweet
From my perspective He remained polite under pressure today.,polite
In this project This makes me worried and uncertain right now.,worried
In this situation the tone is ill right now.,sick
In this situation the tone is helpful for this case.,nice
From my perspective This is a painful and sad moment today.,sad
In this situation There is fear about what could happen next for our team.,fear
From my perspective You handled this in a very nice way for this case.,nice
In this project. I am furious about the repeated failures and delays. I am frustrated by repeated blockers right now.,"anger,frustrated"
In this situation the tone is argue right now.,fight
From my perspective Thank you for the polite response for this release.,polite
In this situation I am stressed by constant pressure today.,stressed
During this week There is constant drama around this issue right now.,drama
From my perspective the tone is sad right now.,sad
In today's discussion the tone is uneasy for this release.,worried
In this project This process is frustrating and slow today.,frustrated
From my perspective The interaction was nice and respectful for this case.,nice
From my perspective. I love how you supported me today. The discussion turned into unnecessary drama for our team.,"drama,love"
In this project This makes me angry and I want immediate action today.,anger
During this week I am hopeful that this will improve for this case.,hopeful
From my perspective. I am hopeful that this will improve. I feel sick and weak today for this case.,"hopeful,sick"
In this project. I am grateful for your support. the tone feels blocked. the tone feels stressed right now.,"frustrated,grateful,stressed"
In this project I am grateful for your support today.,grateful
In this situation This workload is stressful and draining for this release.,stressed
In this situation There is fear about what could happen next right now.,fear
During this week Thank you for the polite response for this case.,polite
During this week The patient looks sick and tired for our team.,sick
During this week The patient looks sick and tired right now.,sick
In this project I feel sick and weak today for this case.,sick
In this project I am grateful for your support for our team.,grateful
In today's discussion the tone is puzzled for this release.,confused
In this situation the tone is gentle today.,sweet
During this week the tone is panic today.,fear
In this situation the tone is optimistic today.,hopeful
In today's discussion Thank you for the polite response today.,polite
During this week I am hopeful that this will improve today.,hopeful
In today's discussion. This process is frustrating and slow. the tone feels puzzled. He remained polite under pressure today.,"confused,frustrated,polite"
From my perspective This makes me angry and I want immediate action for this release.,anger
In this project This update is confusing and incomplete for our team.,confused
From my perspective the tone is sorrow right now.,sad
In this project We remain hopeful about recovery today.,hopeful
In this situation. the tone feels pleasant. the tone feels joy today.,"joy,nice"
From my perspective I felt pure joy after hearing the news for this release.,joy
In today's discussion I am furious about the repeated failures and delays today.,anger
In today's discussion the tone is joy for this release.,joy
In today's discussion I am tensed and cannot relax for this case.,tensed
In this situation We remain hopeful about recovery for this release.,hopeful
In this project This result brings joy and excitement for our team.,joy
During this week Thank you for the polite response right now.,polite
From my perspective I am stressed by constant pressure for our team.,stressed
During this week. Thank you for the polite response. the tone feels worried. the tone feels fight for this case.,"fight,polite,worried"
In this project. the tone feels happy. I feel sick and weak today for this release.,"joy,sick"
In this situation I am scared this situation may get worse for this release.,fear
In today's discussion the tone is fed up today.,frustrated
In this situation. the tone feels sick. the tone feels hopeless for our team.,"depressed,sick"
In this project This process is frustrating and slow for this release.,frustrated
From my perspective the tone is unclear for this release.,confused
During this week I am stressed by constant pressure for this release.,stressed
During this week I am stressed by constant pressure right now.,stressed
During this week The discussion turned into unnecessary drama for this case.,drama
During this week the tone is tense for this release.,tensed
In this situation. the tone feels tensed. the tone feels intense for this release.,"emotional,tensed"
In this project the tone is strained for our team.,tensed
In this project the tone is kindhearted today.,sweet
In today's discussion This workload is stressful and draining for our team.,stressed
In this situation. I am frustrated by repeated blockers. This is a painful and sad moment today.,"frustrated,sad"
In this situation You handled this in a very nice way right now.,nice
In this project This process is frustrating and slow for this case.,frustrated
In today's discussion We are thankful and grateful for your help for this release.,grateful
In this project. I am furious about the repeated failures and delays. I am worried about the final result today.,"anger,worried"
During this week the tone is settled for our team.,calm
From my perspective the tone is irritated for our team.,frustrated
From my perspective She stayed calm during the crisis for this release.,calm
During this week Your words were sweet and comforting for this release.,sweet
In today's discussion the tone is attack today.,fight
In today's discussion. I am furious about the repeated failures and delays. Your words were sweet and comforting for our team.,"anger,sweet"
In this situation. He remained polite under pressure. the tone feels worried. the tone feels unclear for this case.,"confused,polite,worried"
From my perspective He remained polite under pressure for our team.,polite
During this week The discussion turned into unnecessary drama right now.,drama
In this situation This makes me angry and I want immediate action for our team.,anger
In this project This result brings joy and excitement for this release.,joy
In this project This is a painful and sad moment right now.,sad
From my perspective. This workload is stressful and draining. the tone feels clash. the tone feels emotional right now.,"emotional,fight,stressed"
From my perspective There is constant drama around this issue for this release.,drama
During this week. the tone feels unsafe. the tone feels tears. I am worried about the final result for this release.,"emotional,fear,worried"
In today's discussion the tone is uncertain today.,worried
During this week This makes me worried and uncertain right now.,worried
In today's discussion This makes me worried and uncertain for our team.,worried
In today's discussion I am grateful for your support right now.,grateful
In this situation. I feel sick and weak today. the tone feels chaotic. I feel calm after the clarification for this release.,"calm,drama,sick"
"From my perspective It felt gentle, warm, and sweet for this release.",sweet
In this situation the tone is confused for this release.,confused
In this project This event was emotional and overwhelming for this release.,emotional
During this week. the tone feels chaotic. the tone feels expecting. the tone feels unsafe for this release.,"drama,fear,hopeful"
From my perspective. the tone feels blocked. This week feels depressing and heavy right now.,"depressed,frustrated"
In this project. I felt pure joy after hearing the news. the tone feels nice for this case.,"joy,nice"
In this project the tone is calm for this case.,calm
In this situation. Your words were sweet and comforting. The discussion turned into unnecessary drama. the tone feels courteous for this release.,"drama,polite,sweet"
From my perspective the tone is numb right now.,depressed
In this project Your words were sweet and comforting for this release.,sweet
In this project the tone is fear for this release.,fear
In this situation. He remained polite under pressure. This is a painful and sad moment today.,"polite,sad"
In today's discussion the tone is uneasy right now.,worried
In this project I felt pure joy after hearing the news for this case.,joy
From my perspective the tone is ill for our team.,sick
In this project There is love and care in this message for this case.,love
From my perspective the tone is anxious for this release.,worried
During this week the tone is worthless right now.,depressed
During this week the tone is argue for this case.,fight
From my perspective the tone is overloaded for our team.,stressed
In this situation I became emotional while reading this today.,emotional
From my perspective the tone is tensed for this case.,tensed
In today's discussion The patient looks sick and tired right now.,sick
From my perspective the tone is love for our team.,love
In this project. the tone feels emotional. the tone feels promising right now.,"emotional,hopeful"
In this project. the tone feels pressure. There is love and care in this message for our team.,"love,stressed"
During this week the tone is argue for our team.,fight
From my perspective the tone is emotional for this case.,emotional
In this project This process is frustrating and slow right now.,frustrated
In this project the tone is worthless today.,depressed
From my perspective I am stressed by constant pressure right now.,stressed
In this project Thank you for the polite response right now.,polite
In this situation This event was emotional and overwhelming for our team.,emotional
In today's discussion the tone is uneasy for our team.,worried
From my perspective the tone is promising right now.,hopeful
During this week They started a fight over a small issue for this case.,fight
From my perspective There is fear about what could happen next for this case.,fear
From my perspective the tone is grateful right now.,grateful
In today's discussion I feel calm after the clarification right now.,calm
During this week the tone is nice today.,nice
From my perspective. I feel depressed and disconnected. the tone feels mad. the tone feels dramatic right now.,"anger,depressed,drama"
In this situation This makes me worried and uncertain for this release.,worried
In this situation the tone is sweet for our team.,sweet
In this project the tone is fed up for this release.,frustrated
In this project. the tone feels conflict. I am grateful for your support for this case.,"fight,grateful"
In this project I am worried about the final result right now.,worried
During this week the tone is pressured right now.,tensed
During this week. the tone feels joy. Your words were sweet and comforting for this release.,"joy,sweet"
In this situation. This workload is stressful and draining. I am furious about the repeated failures and delays. the tone feels tears for this case.,"anger,emotional,stressed"
In this situation The interaction was nice and respectful for our team.,nice
During this week I am grateful for your support for our team.,grateful
From my perspective They started a fight over a small issue right now.,fight
From my perspective I feel deeply sad about this loss right now.,sad
In this situation This week feels depressing and heavy for this case.,depressed
From my perspective the tone is intense for this case.,emotional
During this week This result brings joy and excitement right now.,joy
In this project The discussion turned into unnecessary drama right now.,drama
During this week I am stressed by constant pressure today.,stressed
In this situation the tone is grateful today.,grateful
During this week I am grateful for your support today.,grateful
In today's discussion The discussion turned into unnecessary drama today.,drama
In this situation the tone is war for this release.,fight
During this week She stayed calm during the crisis right now.,calm
In this situation Your words were sweet and comforting right now.,sweet
In this project The discussion turned into unnecessary drama today.,drama
In today's discussion the tone is conflict today.,fight
In this project. I feel depressed and disconnected. This makes me worried and uncertain today.,"depressed,worried"
"From my perspective It felt gentle, warm, and sweet for this release.",sweet
In this situation the tone is blocked for this release.,frustrated
During this week We are thankful and grateful for your help today.,grateful
From my perspective. I feel calm after the clarification. the tone feels uneasy today.,"calm,worried"
From my perspective the tone is overwhelmed for our team.,emotional
In this situation We remain hopeful about recovery right now.,hopeful
In today's discussion. The patient looks sick and tired. The argument escalated into a fight. the tone feels threat right now.,"fear,fight,sick"
During this week the tone is sick right now.,sick
In this situation There is fear about what could happen next right now.,fear
In this situation He remained polite under pressure for this release.,polite
From my perspective This update is confusing and incomplete for this case.,confused
From my perspective I am furious about the repeated failures and delays for this case.,anger
From my perspective the tone is emotional for this case.,emotional
In this project You handled this in a very nice way right now.,nice
In today's discussion. They started a fight over a small issue. This result brings joy and excitement for this case.,"fight,joy"
During this week I am hopeful that this will improve for this release.,hopeful
From my perspective. the tone feels nausea. There is fear about what could happen next. This makes me worried and uncertain for this release.,"fear,sick,worried"
In today's discussion I am worried about the final result for this release.,worried
In this project the tone is down for our team.,sad
In today's discussion I am frustrated by repeated blockers for our team.,frustrated
In today's discussion You handled this in a very nice way for our team.,nice
In today's discussion. The discussion turned into unnecessary drama. the tone feels outraged for our team.,"anger,drama"
In this situation This update is confusing and incomplete right now.,confused
In this situation We remain hopeful about recovery right now.,hopeful
From my perspective We remain hopeful about recovery for this release.,hopeful
From my perspective I am furious about the repeated failures and delays for this release.,anger
From my perspective This is a painful and sad moment for this case.,sad
In this situation This event was emotional and overwhelming for this case.,emotional
In today's discussion. the tone feels empty. the tone feels delighted for our team.,"depressed,joy"
In this situation. I became emotional while reading this. This process is frustrating and slow for our team.,"emotional,frustrated"
In this project There is love and care in this message right now.,love
In this project I felt pure joy after hearing the news today.,joy
In today's discussion the tone is appreciate for our team.,grateful
In this situation You handled this in a very nice way right now.,nice
In this situation There is love and care in this message for our team.,love
From my perspective the tone is appreciate right now.,grateful
In this situation I am tensed and cannot relax right now.,tensed
In today's discussion the tone is overwhelmed for our team.,emotional
